Repo,Tag Name,Release Name,Published At,Year,Month,Day,Week,Date,Is Weekend,URL
daangn/stackflow,@stackflow/react-ui-core@1.3.2,@stackflow/react-ui-core@1.3.2,2025-05-29T08:08:59Z,2025,5,29,22,2025-05-29,FALSE,https://github.com/daangn/stackflow/releases/tag/%40stackflow/react-ui-core%401.3.2
daangn/stackflow,@stackflow/plugin-basic-ui@1.14.2,@stackflow/plugin-basic-ui@1.14.2,2025-05-29T08:08:56Z,2025,5,29,22,2025-05-29,FALSE,https://github.com/daangn/stackflow/releases/tag/%40stackflow/plugin-basic-ui%401.14.2
daangn/stackflow,@stackflow/react-ui-core@1.3.1,@stackflow/react-ui-core@1.3.1,2025-05-15T09:08:02Z,2025,5,15,20,2025-05-15,FALSE,https://github.com/daangn/stackflow/releases/tag/%40stackflow/react-ui-core%401.3.1
daangn/stackflow,@stackflow/plugin-basic-ui@1.14.1,@stackflow/plugin-basic-ui@1.14.1,2025-05-15T09:07:59Z,2025,5,15,20,2025-05-15,FALSE,https://github.com/daangn/stackflow/releases/tag/%40stackflow/plugin-basic-ui%401.14.1
daangn/stackflow,@stackflow/react@1.5.2,@stackflow/react@1.5.2,2025-05-12T07:52:17Z,2025,5,12,20,2025-05-12,FALSE,https://github.com/daangn/stackflow/releases/tag/%40stackflow/react%401.5.2
daangn/stackflow,@stackflow/react-ui-core@1.3.0,@stackflow/react-ui-core@1.3.0,2025-04-09T10:08:22Z,2025,4,9,15,2025-04-09,FALSE,https://github.com/daangn/stackflow/releases/tag/%40stackflow/react-ui-core%401.3.0
daangn/stackflow,@stackflow/plugin-basic-ui@1.14.0,@stackflow/plugin-basic-ui@1.14.0,2025-04-09T10:08:19Z,2025,4,9,15,2025-04-09,FALSE,https://github.com/daangn/stackflow/releases/tag/%40stackflow/plugin-basic-ui%401.14.0
daangn/stackflow,@stackflow/react-ui-core@1.2.3,@stackflow/react-ui-core@1.2.3,2025-03-27T06:55:24Z,2025,3,27,13,2025-03-27,FALSE,https://github.com/daangn/stackflow/releases/tag/%40stackflow/react-ui-core%401.2.3
daangn/stackflow,@stackflow/plugin-basic-ui@1.13.1,@stackflow/plugin-basic-ui@1.13.1,2025-03-27T06:55:22Z,2025,3,27,13,2025-03-27,FALSE,https://github.com/daangn/stackflow/releases/tag/%40stackflow/plugin-basic-ui%401.13.1
daangn/stackflow,@stackflow/react-ui-core@1.2.2,@stackflow/react-ui-core@1.2.2,2025-03-14T06:58:35Z,2025,3,14,11,2025-03-14,FALSE,https://github.com/daangn/stackflow/releases/tag/%40stackflow/react-ui-core%401.2.2
daangn/stackflow,@stackflow/plugin-basic-ui@1.13.0,@stackflow/plugin-basic-ui@1.13.0,2025-03-14T06:58:32Z,2025,3,14,11,2025-03-14,FALSE,https://github.com/daangn/stackflow/releases/tag/%40stackflow/plugin-basic-ui%401.13.0
daangn/stackflow,@stackflow/react@1.5.1,@stackflow/react@1.5.1,2025-02-24T11:45:06Z,2025,2,24,9,2025-02-24,FALSE,https://github.com/daangn/stackflow/releases/tag/%40stackflow/react%401.5.1
daangn/stackflow,@stackflow/react@1.5.0,@stackflow/react@1.5.0,2025-02-14T02:06:57Z,2025,2,14,7,2025-02-14,FALSE,https://github.com/daangn/stackflow/releases/tag/%40stackflow/react%401.5.0
daangn/stackflow,@stackflow/plugin-basic-ui@1.12.0,@stackflow/plugin-basic-ui@1.12.0,2025-02-14T02:07:00Z,2025,2,14,7,2025-02-14,FALSE,https://github.com/daangn/stackflow/releases/tag/%40stackflow/plugin-basic-ui%401.12.0
daangn/stackflow,@stackflow/core@1.2.0,@stackflow/core@1.2.0,2025-02-14T02:06:54Z,2025,2,14,7,2025-02-14,FALSE,https://github.com/daangn/stackflow/releases/tag/%40stackflow/core%401.2.0
daangn/stackflow,@stackflow/react@1.4.2,@stackflow/react@1.4.2,2025-01-22T12:13:17Z,2025,1,22,4,2025-01-22,FALSE,https://github.com/daangn/stackflow/releases/tag/%40stackflow/react%401.4.2
daangn/stackflow,@stackflow/plugin-history-sync@1.7.1,@stackflow/plugin-history-sync@1.7.1,2025-01-22T12:13:19Z,2025,1,22,4,2025-01-22,FALSE,https://github.com/daangn/stackflow/releases/tag/%40stackflow/plugin-history-sync%401.7.1
daangn/stackflow,@stackflow/link@1.6.1,@stackflow/link@1.6.1,2025-01-22T12:13:13Z,2025,1,22,4,2025-01-22,FALSE,https://github.com/daangn/stackflow/releases/tag/%40stackflow/link%401.6.1
daangn/stackflow,@stackflow/core@1.1.1,@stackflow/core@1.1.1,2025-01-22T12:13:10Z,2025,1,22,4,2025-01-22,FALSE,https://github.com/daangn/stackflow/releases/tag/%40stackflow/core%401.1.1
daangn/stackflow,@stackflow/config@1.2.1,@stackflow/config@1.2.1,2025-01-22T12:13:08Z,2025,1,22,4,2025-01-22,FALSE,https://github.com/daangn/stackflow/releases/tag/%40stackflow/config%401.2.1
daangn/stackflow,@stackflow/react-ui-core@1.2.1,@stackflow/react-ui-core@1.2.1,2024-12-18T12:26:00Z,2024,12,18,51,2024-12-18,FALSE,https://github.com/daangn/stackflow/releases/tag/%40stackflow/react-ui-core%401.2.1
daangn/stackflow,@stackflow/react-ui-core@1.2.0,@stackflow/react-ui-core@1.2.0,2024-12-18T07:57:55Z,2024,12,18,51,2024-12-18,FALSE,https://github.com/daangn/stackflow/releases/tag/%40stackflow/react-ui-core%401.2.0
